#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 27 10 54 280  2.6  3.6    MM    MM    MM  MM 1005.8  -2.3    MM  -2.5   MM   MM    MM
2023 09 27 10 44 270  2.6  3.6    MM    MM    MM  MM 1005.8  -2.0    MM  -2.5   MM   MM    MM
2023 09 27 10 34 270  3.1  3.6    MM    MM    MM  MM 1005.8  -1.8    MM  -2.3   MM   MM    MM
2023 09 27 10 24 260  3.1  3.6    MM    MM    MM  MM 1005.8  -1.2    MM  -2.3   MM   MM    MM
2023 09 27 10 14 250  3.1  3.1    MM    MM    MM  MM 1005.8  -1.4    MM  -2.2   MM   MM    MM
2023 09 27 10 04 260  2.1  2.6    MM    MM    MM  MM 1005.8  -1.5    MM  -2.0   MM   MM    MM
2023 09 27 09 54 240  2.1  2.1    MM    MM    MM  MM 1005.8  -0.9    MM  -2.2   MM   MM    MM
2023 09 27 09 44 240  2.1  2.6    MM    MM    MM  MM 1005.8  -0.8    MM  -2.4   MM   MM    MM
2023 09 27 09 34 230  2.1  2.1    MM    MM    MM  MM 1005.6  -0.6    MM  -2.6   MM   MM    MM
2023 09 27 09 24 220  2.1  2.1    MM    MM    MM  MM 1005.6  -0.6    MM  -2.7   MM   MM    MM
2023 09 27 09 14 230  2.1  2.1    MM    MM    MM  MM 1005.6  -1.2    MM  -2.1   MM   MM    MM
2023 09 27 09 04 220  1.5  1.5    MM    MM    MM  MM 1005.5  -1.3    MM  -1.9   MM   MM    MM
2023 09 27 08 54 220  1.5  2.1    MM    MM    MM  MM 1005.5  -1.2    MM  -2.1   MM   MM    MM
2023 09 27 08 44 220  1.5  2.1    MM    MM    MM  MM 1005.4  -0.9    MM  -2.3   MM   MM    MM
2023 09 27 08 34 220  1.5  2.1    MM    MM    MM  MM 1005.4  -0.6    MM  -2.3   MM   MM    MM
2023 09 27 08 24 200  2.1  2.1    MM    MM    MM  MM 1005.4  -0.5    MM  -2.4   MM   MM    MM
